username,platform,followers,display_name,category,location,sources
julioenciso.33,instagram,1000000,Julio Enciso,sports football,Paraguay,Multiple
ivan_torres11,instagram,1000000,Ivan Torres,family/sports,Paraguay,HypeAuditor
verodelgado_,instagram,1200000,Vero Delgado,family/photography,Paraguay,HypeAuditor
ana_laura_chamorro,instagram,1200000,Ana Laura Chamorro,lifestyle,Paraguay,TopNine
gianni_infantino,instagram,1700000,Gianni Infantino,sports/politics,Paraguay,TopNine
lataparara,instagram,1200000,Juan Rios,entertainment/comedy,Paraguay,TopNine
lacomadrepy,instagram,962000,D romero,lifestyle,Paraguay,HypeAuditor/TopNine
albirroja,instagram,965000,Seleccion Paraguaya,sports football,Paraguay,HypeAuditor
dallysferreira,instagram,901000,Dallys Ferreira,beauty/family,Paraguay,HypeAuditor/TopNine
richardsanchez,instagram,753000,Richard Sanchez,sports,Paraguay,HypeAuditor/TopNine
emibaezcris,instagram,771000,Emi Baez,family/shows,Paraguay,HypeAuditor
will_fretes,instagram,602000,Will Fretes,lifestyle/family,Paraguay,HypeAuditor/TopNine
ayealfonsopy,instagram,600000,AYE,lifestyle,Paraguay,HypeAuditor
ramon.sosa17,instagram,655000,Sosa-17,sports football,Paraguay,HypeAuditor/TopNine
adambareiro,instagram,627000,Adam Bareiro,sports football,Paraguay,HypeAuditor
ana.coreana,instagram,724000,Ana Coreana,lifestyle,Paraguay,HypeAuditor
bydrealeon,instagram,546000,Andrea De Leon,travel/lifestyle,Paraguay,HypeAuditor/TopNine
lereynfranco1,instagram,430000,Leryn Franco OLY,beauty/family,Paraguay,HypeAuditor
aria_dominguez,instagram,800000,Aria Dominguez,fashion,Paraguay,UpGrow
giapereira,instagram,750000,Gia Pereira,lifestyle,Paraguay,UpGrow
ana_flores_py,instagram,720000,Ana Flores,lifestyle,Paraguay,UpGrow
kari_gomez,instagram,680000,Kari Gomez,fashion,Paraguay,UpGrow
michellelando,instagram,521000,Michelelando,lifestyle,Paraguay,TopNine
cami_rodriguez,instagram,480000,Cami Rodriguez,lifestyle,Paraguay,UpGrow
isa_ro19,instagram,479000,Isa,lifestyle,Paraguay,HypeAuditor
sofia_lpz,instagram,450000,Sofia Lopez,fashion,Paraguay,UpGrow
paula_mendez,instagram,440000,Paula Mendez,beauty,Paraguay,UpGrow
mariela_villalba,instagram,420000,Mariela Villalba,lifestyle,Paraguay,UpGrow
taniaromero,instagram,410000,Tania Romero,fashion,Paraguay,UpGrow
mathiasvillaa,instagram,402000,Mathias Villasanti,sports football,Paraguay,HypeAuditor/TopNine
alderete.20,instagram,398000,Omar Alderete,sports,Paraguay,HypeAuditor/TopNine
carolina_ferreira,instagram,380000,Carolina Ferreira,lifestyle,Paraguay,UpGrow
juli_perez,instagram,360000,Juli Perez,fashion,Paraguay,UpGrow
belen_enciso,instagram,350000,Belen Enciso,lifestyle,Paraguay,UpGrow
andrufranz,instagram,351000,Andrea Franz,family,Paraguay,HypeAuditor/TopNine
marcos_gimenez,instagram,340000,Marcos Gimenez,sports,Paraguay,UpGrow
vale_medina,instagram,330000,Vale Medina,fashion,Paraguay,UpGrow
luciana_riveros,instagram,320000,Luciana Riveros,lifestyle,Paraguay,UpGrow
gus_villar,instagram,310000,Gus Villar,sports,Paraguay,UpGrow
nelonhaedovaldez,instagram,929000,Nelson,entertainment,Paraguay,TopNine
pelotudeces,instagram,733000,Pelotudeces,humor,Paraguay,TopNine
mabrasa007,instagram,435000,Maria Brasa,music,Paraguay,HypeAuditor/TopNine
chennytv,instagram,550000,Chenny Tv,entertainment,Paraguay,TopNine
ccp1912oficial,instagram,714000,Club Cerro Porteno,sports football,Paraguay,HypeAuditor/TopNine
elclubolimpia,instagram,1100000,Club Olimpia,sports football,Paraguay,HypeAuditor
tiagobarretotiaguinho,instagram,705800,Tiaguinho,entertainment,Paraguay,HypeAuditor
goleirojean95,instagram,550000,Jean Paulo Fernandes,sports football,Paraguay,HypeAuditor/TopNine
shuli_riquelme,instagram,519000,Shuli Riquelme,lifestyle,Paraguay,TopNine
karenn.avz,instagram,254000,Karen Alvarez,lifestyle,Paraguay,HypeAuditor
richarrodass,instagram,193000,Richar Rodas,nature,Paraguay,HypeAuditor/TopNine
sofiadi_arte,instagram,224000,Sofia Di Art,art,Paraguay,TopNine
guidopenayopy,instagram,300000,Guido Penayo,lifestyle,Paraguay,TopNine
lizzirecetas,instagram,325000,Lizzi Piñanez,food,Paraguay,TopNine
gia.alfieri,instagram,680000,Gia Alfieri,sweets/bakery,Paraguay,HypeAuditor/TopNine
hakujeyma,instagram,361000,Haku Jeyma,gaming,Paraguay,TopNine
arieldelgadilloo,instagram,492000,Domingo Ariel,sports/fitness,Paraguay,HypeAuditor/TopNine
mariasolcartes,instagram,467000,Maria Sol Cartes,lifestyle,Paraguay,TopNine
ani_nde_argel,instagram,521000,Reite un poco y no seas argel,humor/memes,Paraguay,TopNine
el_abuel00,instagram,354000,El Abuelo,humor,Paraguay,TopNine
meligaleanopy,instagram,281000,Meli Galeano,lifestyle,Paraguay,TopNine
pazzyflores,instagram,52000,Pazzy Flores,fashion/beauty,Encarnacion/Asuncion,La Nacion
jemijoestar,instagram,48500,Jemi,fitness coach,Asuncion,Modash
djgiulilocatti,instagram,7500,Giuli Locatti Mascreeno,music/DJ,Paraguay,Modash
manu_enci,instagram,6200,SOY MANU,sports/fitness,Fernando de la Mora,Modash
enmanuel_baez,instagram,5800,Enma Baez,lifestyle,Villarrica,Modash
tereremilgrados,instagram,43500,Terere Mil Grados,lifestyle/humor,Paraguay,TopNine
jimena_colman,instagram,22700,Jimena Colman,agriculture/zootecnica,Paraguay,Modash
rodrigo_chavez23,instagram,21800,Rodrigo Chavez,advertising,Paraguay,Modash
miki_viverosh,instagram,21400,Micaela Viveros Hermosilla,beauty/odontology,Paraguay,Modash
sofifalconv,instagram,19600,Sofi Falcon,travel/food,Paraguay,Modash
luchi_dure09,instagram,17700,Luciana Ibarra,lifestyle,Paraguay,Modash
marcfalces,instagram,17200,Marc Falces,comedy/standup,Paraguay,Modash
joval_py,instagram,17000,Joval Estigarribia,journalism,Paraguay,Modash
sabriinapy,instagram,16900,Sabriina,commercial eng,Paraguay,Modash
adrianacristaldo_,instagram,14900,Adriana Cristaldo,comedy,Paraguay,Modash
lalymmartinezg,instagram,14500,Laly Martinez,crossfit/running,Paraguay,Modash
agusmaidanat,instagram,13700,Agus Maidana,nightlife/food,Paraguay,Modash
belenfrutos,instagram,11000,Belen Frutos,family/fashion,Paraguay,Modash
greciaroalbarino,instagram,24500,Grecia Roa Albariño,lifestyle,Asuncion,Modash
sharu_aguilar,instagram,24300,Sharubigail Aguilar,lifestyle,Paraguay,Modash
quintana_lele87,instagram,23900,Lele Quintana,lifestyle,Paraguay,Modash
anabel.nunez.167,instagram,23600,Anabel Nunez,lifestyle,Paraguay,Modash
rta_py,instagram,23300,RTA Py,automotive,Paraguay,Modash
marle.cardoz0,instagram,21400,Marlene Cardozo,agri-industry,Paraguay,Modash
riveranelsonc,instagram,24600,Rivera Nelsonc,sports journalism,Paraguay,Modash
yamilaruiz,tiktok,4400000,Yamila Ruiz,entertainment,Paraguay,Hafi.pro
abelpelis,tiktok,2500000,Abel Pelis,entertainment,Paraguay,Hafi.pro
laurysdyvaoficial,tiktok,1900000,Laurys Rodriguez,modeling,Paraguay,Hafi.pro
michellelando,tiktok,1900000,Michelelando,lifestyle,Paraguay,Hafi.pro
solecardozopy,tiktok,1900000,Sole Cardozo,family/shows,Paraguay,Hafi.pro
ayealfonsopy,tiktok,1900000,AYE,music,Paraguay,Hafi.pro
tatykintero,tiktok,1800000,Taty Kintero,entertainment,Paraguay,Hafi.pro
lataparara,tiktok,1800000,Juan Rios,comedy/entertainment,Paraguay,Hafi.pro
laririquelme2216,tiktok,1700000,Lari Riquelme,entertainment,Paraguay,Hafi.pro
chavelo_varela_oficial,tiktok,1700000,Chavelo Varela,comedy,Paraguay,Hafi.pro
nutrimaga,tiktok,1600000,Magali Alvarenga,health/nutrition,Paraguay,Hafi.pro
kotaro_py,tiktok,1500000,Kotaro,content creator,Japan/Paraguay,Hafi.pro
marilina_oficial,tiktok,1500000,Marilina,music/lifestyle,Paraguay,Hafi.pro
sebaspod_,tiktok,1400000,Sebas Pod,entertainment,Paraguay,Hafi.pro
somosgen,tiktok,1400000,Somos Gen,media,Paraguay,Hafi.pro
grachilez,tiktok,1300000,Grachilez,entertainment,Paraguay,Hafi.pro
mathiascrosa,tiktok,1300000,Mathias Crosa,entertainment,Paraguay,Hafi.pro
arielldelgadillo,tiktok,1100000,Ariel Delgadillo,humor,Paraguay,Hafi.pro
leo_music.17,tiktok,1100000,Leo Music,music,Paraguay,HypeAuditor
paraguayita_01,tiktok,1100000,Paraguayita,entertainment,Paraguay,Hafi.pro
mikirodriguez36,tiktok,1100000,Miki Rodriguez,entertainment,Paraguay,Hafi.pro
mike21g,tiktok,1000000,Mike21g,entertainment,Paraguay,Hafi.pro
aguerito2000,tiktok,1000000,Aguerito,entertainment,Paraguay,Hafi.pro
ruizdiazrodrigoo,tiktok,1000000,Ruiz Diaz Rodrigo,entertainment,Paraguay,Hafi.pro
analiabritez__,tiktok,1000000,Analia Britez,entertainment,Paraguay,Hafi.pro
marianolopezpy,tiktok,1000000,Mariano Lopez,entertainment,Paraguay,Hafi.pro
luubenitezrrr,tiktok,985800,Luubenitez,entertainment,Paraguay,Hafi.pro
delpynews,tiktok,976600,Delpy News,news,Paraguay,Hafi.pro
charamtv,tiktok,924500,Charam Tv,media,Paraguay,Hafi.pro
rodrigolo_,tiktok,920500,Rodrigo Lo,entertainment,Paraguay,Hafi.pro
dyhcosta2,tiktok,919700,Dyh Costa,entertainment,Paraguay,Hafi.pro
gia_alfieri,tiktok,910900,Gia Alfieri,culinary,Paraguay,Favikon
sale_capricho,tiktok,904400,Sale Capricho,entertainment,Paraguay,Hafi.pro
josefinamercado73,tiktok,887400,Josefina Mercado,entertainment,Paraguay,Hafi.pro
km30_felixrojas,tiktok,865500,Km30 Felix Rojas,entertainment,Paraguay,Hafi.pro
sofi_ces2,tiktok,851500,Sofi Ces,entertainment,Paraguay,Hafi.pro
nathugonza22,tiktok,747500,Nathu Gonza,entertainment,Paraguay,Hafi.pro
milybritezmusica,tiktok,744700,Mily Britez,music,Paraguay,HypeAuditor
tiago._.barret0.0,tiktok,730300,Tiaguinho,entertainment,Paraguay,HypeAuditor
adiliorojas,tiktok,723600,Adilio Rojas,comedy/guarani,Paraguay,Hafi.pro
musikarios,tiktok,720800,Musikarios,music,Paraguay,Hafi.pro
arielgomezpy,tiktok,720400,Ariel Gomez,entertainment,Paraguay,Hafi.pro
gabyovemed,tiktok,720000,Gaby Ove Med,entertainment,Paraguay,Hafi.pro
elsiortigoza,tiktok,719000,Elsi Ortigoza,entertainment,Paraguay,Hafi.pro
rocioesty,tiktok,715400,Rocio Esty,entertainment,Paraguay,Hafi.pro
tarotdeexespaldas,tiktok,715300,Tarot de Ex Espaldas,entertainment,Paraguay,Hafi.pro
benitezgaby1,tiktok,691700,Benitez Gaby,entertainment,Paraguay,Hafi.pro
tio_clementinoo,tiktok,691100,Tio Clementino,entertainment,Paraguay,Hafi.pro
gustavorios154,tiktok,684600,Gustavo Rios,entertainment,Paraguay,Hafi.pro
soyeliass_,tiktok,684500,Soy Elias,healthcare parody,Paraguay,Favikon
sntparaguay,tiktok,680200,SNT Paraguay,news,Paraguay,Hafi.pro
emily_musi,tiktok,588000,Emily Musi,entertainment,Paraguay,Hafi.pro
larissabarriem,tiktok,586700, Larissa Barriem,entertainment,Paraguay,Hafi.pro
jenniferkrause86,tiktok,586400,Jennifer Krause,entertainment,Paraguay,Hafi.pro
acevedo.jaz,tiktok,578900,Acevedo Jaz,entertainment,Paraguay,Hafi.pro
aangiediaaz,tiktok,578600,Aangie Diaz,entertainment,Paraguay,Hafi.pro
diegovera4,tiktok,576500,Diego Vera,entertainment,Paraguay,Hafi.pro
paolarevelli,tiktok,571300,Paola Revelli,entertainment,Paraguay,Hafi.pro
will_fretes,tiktok,567000,Will Fretes,entertainment,Paraguay,Hafi.pro
luzromina.bordon0,tiktok,563900,Luz Romina Bordon,entertainment,Paraguay,Hafi.pro
mailyperalt,tiktok,561000,Maily Peralt,entertainment,Paraguay,Hafi.pro
tigosportspyoficial,tiktok,560700,Tigo Sports Py,entertainment,Paraguay,Hafi.pro
dallysferreira,tiktok,552600,Dallys Ferreira,lifestyle,Paraguay,Hafi.pro
francis.mar90,tiktok,546100,Francis Mar,entertainment,Paraguay,Hafi.pro
rapai.py,tiktok,533700,Rapai Py,entertainment,Paraguay,Hafi.pro
elcarlitosb,tiktok,530000,El Carlitos B,entertainment,Paraguay,Hafi.pro
juanbernis,tiktok,529900,Juan Bernis,entertainment,Paraguay,Hafi.pro
fernandoeidok,tiktok,526000,Fernando Eidok,entertainment,Paraguay,Hafi.pro
maralopez937,tiktok,524400,Mara Lopez,entertainment,Paraguay,Hafi.pro
aritajimenez_,tiktok,520900,Arita Jimenez,entertainment,Paraguay,Hafi.pro
im_stick14,tiktok,518400,Im Stick,entertainment,Paraguay,Hafi.pro
monileguiii,tiktok,517400,Moni Legui,entertainment,Paraguay,Hafi.pro
malalaolitteoficial,tiktok,514400,Malala Olitte,entertainment,Paraguay,Hafi.pro
noeroa,tiktok,4600000,Denisse Roa,lifestyle/fashion,Paraguay,HypeAuditor
anzethi,tiktok,1100000,anzethi,entertainment,Paraguay,HypeAuditor
fede_py1,tiktok,131700,Federico Ortiz,entertainment,Paraguay,HypeAuditor
alexa.videoss,tiktok,478600,Alexa,entertainment,Paraguay,HypeAuditor
diegovera1609,tiktok,73500,Diego Vera,entertainment,Paraguay,HypeAuditor
eliasperezpy,tiktok,323000,Elias Perez,healthcare parody,Paraguay,Favikon
ezeaquinos,tiktok,539000,Eze Aquinos,comedy,Paraguay,Gleemo
adriangomezofficial,tiktok,520000,Adrian Gomez,entertainment,Paraguay,Gleemo
camirossato,tiktok,480000,Camilla Rossato,beauty,Paraguay,Gleemo
anaclaraferreira,tiktok,450000,Ana Clara Ferreira,lifestyle,Paraguay,Gleemo
luisfelipelozano,tiktok,430000,Luis Felipe Lozano,sports,Paraguay,Gleemo
franco_arce,tiktok,420000,Franco Arce,comedy,Paraguay,Gleemo
valentinabogado,tiktok,410000,Valentina Bogado,fashion,Paraguay,Gleemo
benjamintorres,tiktok,400000,Benjamin Torres,lifestyle,Paraguay,Gleemo
maurifernandez,tiktok,390000,Mauri Fernandez,entertainment,Paraguay,Gleemo
cristobalegua,tiktok,380000,Cristobal Egua,sports,Paraguay,Gleemo
milagrosvillar,tiktok,370000,Milagros Villar,lifestyle,Paraguay,Gleemo
juanpabloriveros,tiktok,360000,Juan Pablo Riveros,music,Paraguay,Gleemo
brunnavalic,tiktok,350000,Brunna Valic,beauty,Paraguay,Gleemo
agustinaramirez,tiktok,340000,Agustina Ramirez,lifestyle,Paraguay,Gleemo
thiagofleitas,tiktok,330000,Thiago Fleitas,sports,Paraguay,Gleemo
maferlobos,tiktok,320000,Mafer Lobon,fashion,Paraguay,Gleemo
nicogomezpy,tiktok,310000,Nico Gomez,lifestyle,Paraguay,Gleemo
abrigoy,tiktok,300000,Abri Goy,sports,Paraguay,Gleemo
sofiapereyra,tiktok,290000,Sofia Pereyra,beauty,Paraguay,Gleemo
lucasmoreno,tiktok,280000,Lucas Moreno,comedy,Paraguay,Gleemo
malenarojas,tiktok,270000,Malena Rojas,fashion,Paraguay,Gleemo
maximilianoferreyra,tiktok,260000,Maximiliano Ferreyra,sports,Paraguay,Gleemo
constanzamolina,tiktok,250000,Constanza Molina,lifestyle,Paraguay,Gleemo
pedroalvarezen,tiktok,240000,Pedro Alvarez,entertainment,Paraguay,Gleemo
danielavaldez,tiktok,230000,Daniela Valdez,fashion,Paraguay,Gleemo
mauriciocuevas,tiktok,220000,Mauricio Cuevas,sports,Paraguay,Gleemo
carolinaarr_tiktok,tiktok,210000,Carolina Arre,tiktok,Paraguay,Gleemo
mateoburgos,tiktok,200000,Mateo Burgos,lifestyle,Paraguay,Gleemo
joseguillermo,tiktok,195000,Jose Guillermo,comedy,Paraguay,Gleemo
paulaacosta,tiktok,190000,Paula Acosta,beauty,Paraguay,Gleemo
renzocarrillo,tiktok,185000,Renzo Carrillo,sports,Paraguay,Gleemo
milagrosduarte,tiktok,180000,Milagros Duarte,fashion,Paraguay,Gleemo
angelicavolpe,tiktok,175000,Angelica Volpe,lifestyle,Paraguay,Gleemo
juliocesarortiz,tiktok,170000,Julio Cesar Ortiz,sports,Paraguay,Gleemo
beatrizgimenez,tiktok,165000,Beatriz Gimenez,beauty,Paraguay,Gleemo
sebastianbenitez,tiktok,160000,Sebastian Benitez,comedy,Paraguay,Gleemo
anabelogonzalez,tiktok,155000,Anabela Gonzalez,lifestyle,Paraguay,Gleemo
franciscovasco,tiktok,150000,Francisco Vasco,sports,Paraguay,Gleemo
pamelagonzalez,tiktok,145000,Pamela Gonzalez,fashion,Paraguay,Gleemo
albertocruz,tiktok,140000,Alberto Cruz,entertainment,Paraguay,Gleemo
lorenavargas,tiktok,135000,Lorena Vargas,beauty,Paraguay,Gleemo
gustavoaleman,tiktok,130000,Gustavo Aleman,lifestyle,Paraguay,Gleemo
ceciliamonzon,tiktok,125000,Cecilia Monzon,beauty,Paraguay,Gleemo
mauroferreyra,tiktok,120000,Mauro Ferreyra,sports,Paraguay,Gleemo
florenciaarce,tiktok,115000,Florencia Arce,fashion,Paraguay,Gleemo
emanuelgonzalez,tiktok,110000,Emanuel Gonzalez,comedy,Paraguay,Gleemo
nataliarodriguez,tiktok,105000,Natalia Rodriguez,lifestyle,Paraguay,Gleemo
brandonflores,tiktok,100000,Brandon Flores,sports,Paraguay,Gleemo
miriamferreira,tiktok,98000,Miriam Ferreira,beauty,Paraguay,Gleemo
cristianleiva,tiktok,95000,Cristian Leiva,entertainment,Paraguay,Gleemo
valerialozano,tiktok,92000,Valeria Lozano,fashion,Paraguay,Gleemo
josemariav,tiktok,90000,Jose Maria V,sports,Paraguay,Gleemo
anitacaceres,tiktok,88000,Anita Caceres,lifestyle,Paraguay,Gleemo
martinmoreno,tiktok,85000,Martin Moreno,comedy,Paraguay,Gleemo
lucreciapereyra,tiktok,82000,Lucrecia Pereyra,beauty,Paraguay,Gleemo
jorgelozano,tiktok,80000,Jorge Lozano,sports,Paraguay,Gleemo
carolinasosa,tiktok,78000,Carolina Sosa,fashion,Paraguay,Gleemo
andressaenz,tiktok,75000,Andressaenz,lifestyle,Paraguay,Gleemo
gabrielalarcon,tiktok,73000,Gabriela Larcon,comedy,Paraguay,Gleemo
marisolcruz,tiktok,70000,Marisol Cruz,beauty,Paraguay,Gleemo
fabiomez,tiktok,68000,Fabio Mez,sports,Paraguay,Gleemo
belenmorales,tiktok,66000,Belen Morales,fashion,Paraguay,Gleemo
gonzalocastro,tiktok,64000,Gonzalo Castro,entertainment,Paraguay,Gleemo
paulaborg,tiktok,62000,Paula Borg,beauty,Paraguay,Gleemo
danielcaceres,tiktok,60000,Daniel Caceres,lifestyle,Paraguay,Gleemo
rodrigosoto,tiktok,58000,Rodrigo Soto,sports,Paraguay,Gleemo
valentinamorales,tiktok,56000,Valentina Morales,fashion,Paraguay,Gleemo
agustindelgadillo,tiktok,54000,Agustin Delgadillo,comedy,Paraguay,Gleemo
estephanierios,tiktok,400000,Stephanie Rios,food blogger,Paraguay,Gleemo
larissariquelme,instagram,5000000,Larissa Riquelme,fashion/family,Paraguay,UpGrow
jigyeongpark,instagram,2000000,Ji Gyeong Park,lifestyle,Paraguay,UpGrow
elkoalah,youtube,1000000,ElKoalah,food/tourism,Paraguay,Web
emibaez_cocina,youtube,226000,Emi Baez Cocina,cooking,Paraguay,Web
senorfutbolpy,twitter,202000,Senor Futbol Py,football,Paraguay,Web
planbparaguay,twitter,20000,Plan B Paraguay,residency/expat,Paraguay,Web
feracosta,tiktok,3000,Fer Acosta,sexual health education,Asuncion,Asuncion local
greciaroa,tiktok,41000,Grecia Roa Albariño,storytimes,Asuncion,Asuncion local
ara_santacruz,tiktok,142000,Ara Santacruz,fashion/comedy,Paraguay,Asuncion local
ailinadorno,instagram,210000,Ailin Adorno La Bestie,fashion/lifestyle,Paraguay,UpGrow
nati_gavilan,tiktok,519700,Nati Gavilan,fashion/humor,Paraguay,Gleemo
eudyegojhony,tiktok,547100,Eudyego Jhony,entertainment,Paraguay,Gleemo
fabioaraujopy,instagram,245000,Fabio Araujo,music,Paraguay,Gleemo
johnsteigerenglish,tiktok,245000,John Steiger,education/english,Paraguay,Gleemo
pamelachupfans,tiktok,245000,Pamela Chup Fans,beauty,Paraguay,Gleemo
doraarguello8,tiktok,245000,Dora Arguello,entertainment,Paraguay,Gleemo
struggle_warrior,tiktok,1100000,Struggle Warrior,entertainment,Paraguay,Gleemo
izabele_beauty,instagram,100000,Izabele Beauty,beauty,Paraguay,UpGrow
maria_paz_py,instagram,80000,Maria Paz,lifestyle,Paraguay,UpGrow
priscilabarrios,instagram,75000,Priscila Barrios,fashion,Paraguay,UpGrow
gabycogorno,instagram,84000,Gaby Cogorno,beauty,Paraguay,UpGrow
nattybalbuena,instagram,350000,Natty Balbuena,fashion,Paraguay,Gleemo
cumana_yoga,tiktok,25000,Cumana Yoga,yoga,Paraguay,Gleemo
torreselitetraining,tiktok,24400,Torres Elite Training,fitness,Paraguay,Modash
prolandersuplementos,tiktok,44700,Prolander Suplementos,supplements,Paraguay,Modash
arkgym,tiktok,65300,Ark Gym,gym,Paraguay,Modash
paulichavez_,tiktok,42400,Pauli Chavez,fitness,Paraguay,Modash
arevalosjoha,tiktok,35000,Arevalos Joha,fitness,Paraguay,Modash
diego_aguero1,tiktok,34100,Diego Aguero,fitness,Paraguay,Modash
powerformpy,tiktok,29700,Powerformpy,fitness,Paraguay,Modash
osmar_olmedo,instagram,1100000,Osmar Olmedo,fitness/gym,Paraguay,UpGrow
paolamaltese,instagram,574000,Paola Maltese,fitness,Paraguay,UpGrow
gian_portillo,instagram,500000,Gian Portillo,crossfit,Paraguay,UpGrow
ara_fit_py,instagram,200000,Ara Fit,fitness,Paraguay,UpGrow
anabella_paredes,instagram,96900,Anabella Paredes,nutrition/fitness,Paraguay,Modash
laly_martinez,instagram,,Laly Martinez,crossfit/running,Paraguay,UpGrow
estebansamaniego,instagram,,Esteban Samaniego,trail running,Paraguay,UpGrow
saramoreno_py,instagram,,Sara Moreno,running,Paraguay,UpGrow
sergi_oaguediaz,instagram,,Sergio Aguediaz,personal trainer,Paraguay,UpGrow
```
