username,platform,followers,display_name,category,location,sources
juli_perez,instagram,360000,Juli Perez,fashion,Paraguay,UpGrow
andrufranz,instagram,351000,Andrea Franz,family,Paraguay,HypeAuditor/TopNine
belen_enciso,instagram,350000,Belen Enciso,lifestyle,Paraguay,UpGrow
brunnavalic,tiktok,350000,Brunna Valic,beauty,Paraguay,Gleemo
nattybalbuena,instagram,350000,Natty Balbuena,fashion,Paraguay,Gleemo
agustinaramirez,tiktok,340000,Agustina Ramirez,lifestyle,Paraguay,Gleemo
vale_medina,instagram,330000,Vale Medina,fashion,Paraguay,UpGrow
lizzirecetas,instagram,325000,Lizzi Piñanez,food,Paraguay,TopNine
eliasperezpy,tiktok,323000,Elias Perez,healthcare parody,Paraguay,Favikon
luciana_riveros,instagram,320000,Luciana Riveros,lifestyle,Paraguay,UpGrow
maferlobos,tiktok,320000,Mafer Lobon,fashion,Paraguay,Gleemo
nicogomezpy,tiktok,310000,Nico Gomez,lifestyle,Paraguay,Gleemo
guidopenayopy,instagram,300000,Guido Penayo,lifestyle,Paraguay,TopNine
sofiapereyra,tiktok,290000,Sofia Pereyra,beauty,Paraguay,Gleemo
meligaleanopy,instagram,281000,Meli Galeano,lifestyle,Paraguay,TopNine
malenarojas,tiktok,270000,Malena Rojas,fashion,Paraguay,Gleemo
karenn.avz,instagram,254000,Karen Alvarez,lifestyle,Paraguay,HypeAuditor
constanzamolina,tiktok,250000,Constanza Molina,lifestyle,Paraguay,Gleemo
pamelachupfans,tiktok,245000,Pamela Chup Fans,beauty,Paraguay,Gleemo
danielavaldez,tiktok,230000,Daniela Valdez,fashion,Paraguay,Gleemo
ailinadorno,instagram,210000,Ailin Adorno La Bestie,fashion/lifestyle,Paraguay,UpGrow
mateoburgos,tiktok,200000,Mateo Burgos,lifestyle,Paraguay,Gleemo
ara_fit_py,instagram,200000,Ara Fit,fitness,Paraguay,UpGrow
paulaacosta,tiktok,190000,Paula Acosta,beauty,Paraguay,Gleemo
milagrosduarte,tiktok,180000,Milagros Duarte,fashion,Paraguay,Gleemo
angelicavolpe,tiktok,175000,Angelica Volpe,lifestyle,Paraguay,Gleemo
beatrizgimenez,tiktok,165000,Beatriz Gimenez,beauty,Paraguay,Gleemo
anabelogonzalez,tiktok,155000,Anabela Gonzalez,lifestyle,Paraguay,Gleemo
pamelagonzalez,tiktok,145000,Pamela Gonzalez,fashion,Paraguay,Gleemo
ara_santacruz,tiktok,142000,Ara Santacruz,fashion/comedy,Paraguay,Asuncion local
lorenavargas,tiktok,135000,Lorena Vargas,beauty,Paraguay,Gleemo
gustavoaleman,tiktok,130000,Gustavo Aleman,lifestyle,Paraguay,Gleemo
ceciliamonzon,tiktok,125000,Cecilia Monzon,beauty,Paraguay,Gleemo
florenciaarce,tiktok,115000,Florencia Arce,fashion,Paraguay,Gleemo
nataliarodriguez,tiktok,105000,Natalia Rodriguez,lifestyle,Paraguay,Gleemo
izabele_beauty,instagram,100000,Izabele Beauty,beauty,Paraguay,UpGrow
miriamferreira,tiktok,98000,Miriam Ferreira,beauty,Paraguay,Gleemo
anabella_paredes,instagram,96900,Anabella Paredes,nutrition/fitness,Paraguay,Modash
valerialozano,tiktok,92000,Valeria Lozano,fashion,Paraguay,Gleemo
anitacaceres,tiktok,88000,Anita Caceres,lifestyle,Paraguay,Gleemo
gabycogorno,instagram,84000,Gaby Cogorno,beauty,Paraguay,UpGrow
lucreciapereyra,tiktok,82000,Lucrecia Pereyra,beauty,Paraguay,Gleemo
maria_paz_py,instagram,80000,Maria Paz,lifestyle,Paraguay,UpGrow
carolinasosa,tiktok,78000,Carolina Sosa,fashion,Paraguay,Gleemo
andressaenz,tiktok,75000,Andressaenz,lifestyle,Paraguay,Gleemo
priscilabarrios,instagram,75000,Priscila Barrios,fashion,Paraguay,UpGrow
marisolcruz,tiktok,70000,Marisol Cruz,beauty,Paraguay,Gleemo
belenmorales,tiktok,66000,Belen Morales,fashion,Paraguay,Gleemo
paulaborg,tiktok,62000,Paula Borg,beauty,Paraguay,Gleemo
danielcaceres,tiktok,60000,Daniel Caceres,lifestyle,Paraguay,Gleemo
valentinamorales,tiktok,56000,Valentina Morales,fashion,Paraguay,Gleemo
pazzyflores,instagram,52000,Pazzy Flores,fashion/beauty,Encarnacion/Asuncion,La Nacion
jemijoestar,instagram,48500,Jemi,fitness coach,Asuncion,Modash
tereremilgrados,instagram,43500,Terere Mil Grados,lifestyle/humor,Paraguay,TopNine
paulichavez_,tiktok,42400,Pauli Chavez,fitness,Paraguay,Modash
arevalosjoha,tiktok,35000,Arevalos Joha,fitness,Paraguay,Modash
diego_aguero1,tiktok,34100,Diego Aguero,fitness,Paraguay,Modash
powerformpy,tiktok,29700,Powerformpy,fitness,Paraguay,Modash
greciaroalbarino,instagram,24500,Grecia Roa Albariño,lifestyle,Asuncion,Modash
torreselitetraining,tiktok,24400,Torres Elite Training,fitness,Paraguay,Modash
sharu_aguilar,instagram,24300,Sharubigail Aguilar,lifestyle,Paraguay,Modash
quintana_lele87,instagram,23900,Lele Quintana,lifestyle,Paraguay,Modash
anabel.nunez.167,instagram,23600,Anabel Nunez,lifestyle,Paraguay,Modash
miki_viverosh,instagram,21400,Micaela Viveros Hermosilla,beauty/odontology,Paraguay,Modash
sofifalconv,instagram,19600,Sofi Falcon,travel/food,Paraguay,Modash
luchi_dure09,instagram,17700,Luciana Ibarra,lifestyle,Paraguay,Modash
agusmaidanat,instagram,13700,Agus Maidana,nightlife/food,Paraguay,Modash
belenfrutos,instagram,11000,Belen Frutos,family/fashion,Paraguay,Modash
manu_enci,instagram,6200,SOY MANU,sports/fitness,Fernando de la Mora,Modash
enmanuel_baez,instagram,5800,Enma Baez,lifestyle,Villarrica,Modash
feracosta,tiktok,3000,Fer Acosta,sexual health education,Asuncion,Asuncion local
