username,display_name,instagram,facebook,linkedin,twitter,tiktok,website,category,followers_approx,wellness_relevance,outreach_priority
belen_enciso,Belen Enciso,https://www.instagram.com/belen_enciso/,,,,,,lifestyle,350000,LOW,B
brunnavalic,Brunna Valic,https://www.instagram.com/brunnavalic/,,,,"https://www.tiktok.com/@brunnavalic",,beauty,350000,MEDIUM,B
nattybalbuena,Natty Balbuena,https://www.instagram.com/nattybalbuena/,,,,"https://www.tiktok.com/@nattybalbuena",,fashion,350000,MEDIUM,B
agustinaramirez,Agustina Ramirez,https://www.instagram.com/agustinaramirez/,,,,"https://www.tiktok.com/@agustinaramirez",,lifestyle,340000,LOW,B
vale_medina,Vale Medina,https://www.instagram.com/vale_medina/,,,,,,fashion,330000,MEDIUM,B
lizzirecetas,Lizzi Piñanez,https://www.instagram.com/lizzirecetas/,,,,,,food,325000,HIGH,A
eliasperezpy,Elias Perez,https://www.instagram.com/eliasperezpy/,,,,"https://www.tiktok.com/@eliasperezpy",,healthcare parody,323000,LOW,C
luciana_riveros,Luciana Riveros,https://www.instagram.com/luciana_riveros/,,,,,,lifestyle,320000,LOW,B
maferlobos,Mafer Lobon,https://www.instagram.com/maferlobos/,,,,"https://www.tiktok.com/@maferlobos",,fashion,320000,MEDIUM,B
nicogomezpy,Nico Gomez,https://www.instagram.com/nicogomezpy/,,,,"https://www.tiktok.com/@nicogomezpy",,lifestyle,310000,LOW,B
guidopenayopy,Guido Penayo,https://www.instagram.com/guidopenayopy/,,,,,,lifestyle,300000,LOW,B
sofiapereyra,Sofia Pereyra,https://www.instagram.com/sofiapereyra/,,,,"https://www.tiktok.com/@sofiapereyra",,beauty,290000,MEDIUM,B
meligaleanopy,Meli Galeano,https://www.instagram.com/meligaleanopy/,,,,,,lifestyle,281000,LOW,B
malenarojas,Malena Rojas,https://www.instagram.com/malenarojas/,,,,"https://www.tiktok.com/@malenarojas",,fashion,270000,MEDIUM,B
karenn.avz,Karen Alvarez,https://www.instagram.com/karenn.avz/,,,,,,lifestyle,254000,LOW,B
anabella_paredes,Anabella Paredes,https://www.instagram.com/anabella_paredes/,,,,,,nutrition/fitness,96900,HIGH,A
paulichavez_,Pauli Chavez,https://www.instagram.com/paulichavez_/,,,,"https://www.tiktok.com/@paulichavez_",,fitness,42400,HIGH,A
arevalosjoha,Arevalos Joha,https://www.instagram.com/arevalosjoha/,,,,"https://www.tiktok.com/@arevalosjoha",,fitness,35000,HIGH,A
diego_aguero1,Diego Aguero,https://www.instagram.com/dieguero1/,,,,"https://www.tiktok.com/@dieguero1",,fitness,34100,HIGH,A
powerformpy,Powerformpy,https://www.instagram.com/powerformpy/,,,,"https://www.tiktok.com/@powerformpy",,fitness,29700,HIGH,A
torreselitetraining,Torres Elite Training,https://www.instagram.com/torreselitetraining/,,,,"https://www.tiktok.com/@torreselitetraining",,fitness,24400,HIGH,A
greciaroalbarino,Grecia Roa Albariño,https://www.instagram.com/greciaroalbarino/,,,,,,lifestyle,24500,LOW,B
sharu_aguilar,Sharubigail Aguilar,https://www.instagram.com/sharu_aguilar/,,,,,,lifestyle,24300,LOW,B
jemijoestar,Jemi,https://www.instagram.com/jemijoestar/,,,,,,fitness coach,48500,HIGH,A
manu_enci,SOY MANU,https://www.instagram.com/manu_enci/,,,,,,sports/fitness,6200,HIGH,A
enmanuel_baez,Enma Baez,https://www.instagram.com/enmanuel_baez/,,,,,,lifestyle,5800,LOW,B
feracosta,Fer Acosta,https://www.instagram.com/feracosta/,,,,"https://www.tiktok.com/@feracosta",,sexual health education,3000,LOW,C
