name,category,subcategory,city,neighborhood,address,lat,lng,phone,website,rating,total_reviews,has_website,deep_score,priority,types,corporate_score,_tier
BIGG Herrera,Gimnasio/Fitness,General,Asunción,,"Del Maestro 3143, Asunción 001406, Paraguay",-25.301549,-57.5578818,0981 643222,https://bigg.fit/herrera/,4.7,160,True,75,A,establishment|gym|health|point_of_interest,85,A
Premier Fitness Club Asunción,Gimnasio/Fitness,General,Asunción,,"General Bernardo O'Higgins 25, 2923941 57, Asunción 1411, Paraguay",-25.2916469,-57.57462939999999,0972 141444,http://www.fb.com/premierfitnessclubasuncion,4.7,119,True,75,A,establishment|gym|health|point_of_interest,85,A
Natura Spa,Spa/Wellness,Spa,Asunción,,"Bélgica 853 entre, Eusebio Lillo Robles y, Asunción 1829, Paraguay",-25.290441,-57.5678982,0981 169164,http://www.naturaspa.com.py/,4.7,152,True,75,A,establishment|gym|hair_care|health|point_of_interest|spa,85,A
Body Wellness Gym,Spa/Wellness,Gimnasio,Luque,,"PGP4+585, Comandante Peralta, Luque 110918, Paraguay",-25.2646226,-57.4941403,(021) 653 355,,4.5,114,False,100,A,establishment|gym|health|point_of_interest,85,A
Tabarelli Training Center,Gimnasio/Fitness,General,Luque,,"PGM3+6XJ, Av. Gral. Aquino, Luque 110932, Paraguay",-25.2669044,-57.4951059,(021) 655 172,,4.5,153,False,100,A,establishment|gym|health|point_of_interest,85,A
Full Fitness Gym,Gimnasio/Fitness,Gimnasio,Luque,,"PGP3+277, Mariscal Lopez, Luque 110918, Paraguay",-25.2649717,-57.49681779999999,(021) 640 740,,4.7,197,False,100,A,establishment|gym|health|point_of_interest,85,A
The Yoga Garden Paraguay,Gimnasio/Fitness,Yoga/Pilates,Asunción,,"Dr. Justo Prieto 3774, Asunción 001229, Paraguay",-25.2970334,-57.59750700000001,0981 498080,http://www.facebook.com/theyogagardenparaguay,5.0,69,True,90,A,establishment|gym|health|point_of_interest,80,A
AF Studio Barber,Barberia,General,Asunción,,"Av. Santísima Trinidad 1370, Asunción 001519, Paraguay",-25.2684782,-57.5646826,0994 879222,https://www.barberia.com.py/,4.9,245,True,75,A,establishment|hair_care|health|point_of_interest,80,A
Karai Barbero,Barberia,General,Asunción,,"23 De Octubre 292, Asunción 001411, Paraguay",-25.288638,-57.5878874,0981 541932,https://agendit.com.py/business/97781,5.0,220,True,75,A,establishment|hair_care|health|point_of_interest,80,A
Mbarete CrossFit,Gimnasio/Fitness,CrossFit,Luque,,"QF4W+V26, America, Luque 2060, Paraguay",-25.2428291,-57.5049714,0986 224939,https://instagram.com/mbarete_rakiura,4.8,51,True,90,A,establishment|gym|health|point_of_interest,80,A
PIBA estetica y depilación,Estetica/Facial,General,Asunción,,"PC3C+XQP, Av. Mariscal López, Asunción 1814, Paraguay",-25.2951899,-57.5785654,0994 242249,https://www.instagram.com/piba.estetica/,4.9,327,True,90,A,beauty_salon|establishment|hair_care|health|point_of_interest,80,A
DepiDermo - Especialistas en Depilación,Salon de Belleza,General,Asunción,,"Av. Juscelino Kubitschek 780, Asunción 001228, Paraguay",-25.3010194,-57.6062412,0981 137204,https://www.depidermo.com/,4.9,277,True,77,A,beauty_salon|establishment|hair_care|health|point_of_interest,80,A
Centro de Depilación Láser Diodo - DepilArte,Salon de Belleza,General,Asunción,,"Senador Huey Pierce Long 566, Asunción 001411, Paraguay",-25.2901933,-57.57727339999999,0981 560959,https://depilarte.com.py/,4.9,287,True,77,A,beauty_salon|establishment|hair_care|health|point_of_interest,80,A
RENUVA - Clínica estética y laser,Depilacion,Depilacion Laser,Asunción,,"Eusebio Lillo Robles 1498 esq, Asunción 001411, Paraguay",-25.2893184,-57.57473409999999,0981 521527,,4.8,248,False,100,A,establishment|health|point_of_interest,80,A
Centro Médico Corppolive,Otros,General,Asunción,,"Santisimo Sacramento 3069, Asunción 001519, Paraguay",-25.2553413,-57.5772593,0971 568547,,5.0,259,False,100,A,establishment|health|hospital|point_of_interest,80,A
BIGG La Peregrina,Gimnasio/Fitness,General,Asunción,,"Augusto Roa Bastos 425 casi, Asunción 1530, Paraguay",-25.2843248,-57.5808311,0982 220364,http://www.bigg.fit/,4.8,67,True,70,A,establishment|gym|health|point_of_interest,80,A
TAJOS Barberos (Central),Barberia,General,Asunción,,"Denis Roa 673, Asunción 1829, Paraguay",-25.2959437,-57.56232910000001,0982 473078,,4.9,237,False,100,A,establishment|hair_care|health|point_of_interest,80,A
Zona Fit - Plaza Madero,Gimnasio/Fitness,General,Luque,,"Autopista Silvio Pettirossi, &, Luque 110917, Paraguay",-25.2560188,-57.5123275,0986 108875,,4.8,80,False,100,A,establishment|gym|health|point_of_interest,80,A
Gtc Mcal CrossFit,Gimnasio/Fitness,CrossFit,Asunción,,"Tte. Jara Troche, Asunción 001208, Paraguay",-25.2908769,-57.6075855,0971 666944,,4.8,66,False,100,A,establishment|gym|health|point_of_interest,80,A
Apple Wellness Gym,Spa/Wellness,Gimnasio,Asunción,,"Av. Mariscal López, Asunción 001412, Paraguay",-25.295397,-57.57870130000001,0982 828165,,4.8,62,False,100,A,establishment|gym|health|point_of_interest,80,A
Luque Training,Gimnasio/Fitness,General,Luque,,"Del Maestro Chei, Cnel. Oviedo, Luque 110933, Paraguay",-25.2690763,-57.5002178,0984 910808,,4.9,66,False,100,A,establishment|gym|health|point_of_interest,80,A
Depyless Depilación Médica Láser Centro Oficial de Soprano Titanium,Salon de Belleza,General,Asunción,,"Eusebio Lillo Robles 1109 Esquina, Asunción 1813, Paraguay",-25.2874744,-57.5786402,0981 252511,http://www.depyless.com/,5.0,987,True,77,A,beauty_salon|establishment|hair_care|health|point_of_interest,80,A
Urban Spa Calle 11 - Mburucuya,Spa/Wellness,Spa,Asunción,,"Padre José Félix González, Asunción 001531, Paraguay",-25.267154,-57.5760357,0974 968585,http://www.calle11.net/,4.5,439,True,80,A,establishment|point_of_interest|spa,80,A
Essencial SPA,Spa/Wellness,Spa,Luque,,"Luque 110933, Paraguay",-25.2711943,-57.5002259,0982 338886,,4.6,285,False,100,A,establishment|point_of_interest|spa,80,A
Clinica Dr.T,Spa/Wellness,General,Asunción,,"Soldado Desconocido 125, Asunción 0000, Paraguay",-25.285341,-57.5828088,(021) 602 490,,4.8,53,False,100,A,establishment|health|point_of_interest|spa,80,A
DepiLife,Salon de Belleza,General,Asunción,,"Eusebio Lillo Robles 1281, Asunción 1849, Paraguay",-25.287933,-57.57711880000001,0984 639623,https://www.depilife.com.py/,4.9,221,True,77,A,beauty_salon|establishment|hair_care|health|point_of_interest,80,A
💈Top Paraguay 🏳️‍🌈 Barberia & Peluquería (Exclusivo),Peluqueria,General,Asunción,,"Edificio Lider 1, Juan E. O'Leary 625 Esq, Asunción 625, Paraguay",-25.282155,-57.63988029999999,0984 333414,https://wa.link/veppcy,5.0,337,True,77,A,establishment|hair_care|health|point_of_interest|store,80,A
Espacio Samu´u,Spa/Wellness,Spa,Asunción,,"Caballero 773, Asunción 001101, Paraguay",-25.2874189,-57.6336457,0981 730492,https://www.instagram.com/espaciosamuu/,4.8,75,True,90,A,establishment|food|grocery_or_supermarket|gym|health|point_of_interest|store,80,A
Guapa Spa de Uñas y Estética,Spa/Wellness,Spa,Asunción,,"Doctor Juan Eulogio Estigarribia &, Charles De Gaulle, Asunción 001412, Paraguay",-25.2958029,-57.5804673,0981 192526,https://guapaturnos.simplybook.me/v2/,4.7,332,True,80,A,beauty_salon|establishment|hair_care|point_of_interest|spa,80,A
Club Varsovia,Peluqueria,General,Asunción,,"Sgto. José León Gauto, Asunción 001207, Paraguay",-25.2816806,-57.59973710000001,0981 333303,https://www.clubvarsovia.com/,4.8,246,True,77,A,establishment|hair_care|health|point_of_interest,80,A
Gorilla's Gym,Gimnasio/Fitness,Gimnasio,Asunción,,"Itapua 822, Asunción 001531, Paraguay",-25.2643872,-57.58057849999999,0994 462100,,4.8,67,False,100,A,establishment|gym|health|point_of_interest,80,A
💈| Los Barberos de López ✅ - Barbería y Peluquería Premium - Barber Top Shop Abierta 24 h -cerca de Asunción @barberosdelopez,Peluqueria,General,Asunción,,"25 de Mayo 369 esquina, Asunción 001101, Paraguay",-25.284535,-57.63190789999999,0971 838282,https://www.barberos.com.py/,4.9,2169,True,77,A,beauty_salon|cafe|establishment|food|hair_care|health|point_of_interest|spa|store,80,A
Velours Clínica Medicina Estética,Salon de Belleza,General,Asunción,,"Papa Juan XXIII y, Asunción 001529, Paraguay",-25.2812609,-57.569156,0991 855939,https://velours.com.py/,5.0,1278,True,77,A,beauty_salon|establishment|hair_care|health|point_of_interest|store,80,A
SERGIO FITNESS CENTER,Gimnasio/Fitness,Gimnasio,Luque,,"José Concepción Ortíz, Luque 110929, Paraguay",-25.2709738,-57.47703249999999,0986 135278,,4.8,58,False,100,A,establishment|gym|health|point_of_interest,80,A
Spa Tiger,Spa/Wellness,Spa,Asunción,,"Europa 2186, Asunción 001236, Paraguay",-25.3052876,-57.6190718,0994 201066,,4.2,286,False,100,A,establishment|point_of_interest|spa,75,A
Fit for Life,Gimnasio/Fitness,General,Asunción,,"PCJM+FX2, Asunción 001520, Paraguay",-25.2688647,-57.5651145,0985 402825,https://instagram.com/fitforlifepy?igshid=YmMyMTA2M2Y=,4.6,62,True,90,A,establishment|gym|health|point_of_interest,75,A
SAGA GYM,Gimnasio/Fitness,Gimnasio,Asunción,,"Augusto Roa Bastos 441, Asunción 001530, Paraguay",-25.2827379,-57.58027809999999,0981 704604,http://www.facebook.com/sagagympy,4.7,92,True,90,A,establishment|gym|health|point_of_interest,75,A
Oh! Baby Spa,Spa/Wellness,Spa,Luque,,"PGMH+987, Hernandarias, Luque 110922, Paraguay",-25.2665827,-57.4717046,0982 357778,,5.0,161,False,100,A,establishment|point_of_interest|spa,75,A
Beauty & Spa Body Line,Spa/Wellness,Spa,Asunción,,"Cedro 1168 casi Pilar Asunción, Cedro 1168, Asunción 1911, Paraguay",-25.3221761,-57.5926049,(021) 551 797,https://www.facebook.com/bodylinebeutyspa/,4.4,287,True,97,A,establishment|point_of_interest|spa,75,A
"INA STYLE Pelucas, BARBERIA, extensiones, alargues, coletas, apliques hair topper. Cabello 100% natural. ALQUILER",Peluqueria,General,Asunción,,"Enrique Solano López N° 914, Asunción 001205, Paraguay",-25.2816988,-57.6021989,0971 147251,https://www.instagram.com/inastylepy/?hl=es,4.7,330,True,97,A,establishment|hair_care|health|point_of_interest|store,75,A
Hidrobaby Luque,Spa/Wellness,General,Luque,,"Dora Gomez Bueno de Acuña, Luque 0000, Paraguay",-25.2669481,-57.48366360000001,0993 444300,,4.9,196,False,100,A,establishment|point_of_interest|spa,75,A
Fibra Academia,Gimnasio/Fitness,General,Asunción,,"Caracas 294, Asunción 1209, Paraguay",-25.2586913,-57.5780947,(021) 280 084,,4.6,73,False,100,A,establishment|gym|health|point_of_interest,75,A
LUQUE FIT Made in La República,Gimnasio/Fitness,General,Luque,,"Julio Correa, &, Luque 110929, Paraguay",-25.2709093,-57.4830675,0992 263249,,4.7,88,False,100,A,establishment|gym|health|point_of_interest,75,A
Mudraa Spa Py,Spa/Wellness,Spa,Asunción,,"Carmen Soler 3640 c, Asunción 0000, Paraguay",-25.2987219,-57.6004613,0971 186989,https://www.instagram.com/mudraa.py/,4.9,116,True,95,A,establishment|point_of_interest|spa,75,A
La Guarida Barberos,Barberia,General,Asunción,,"Moisés Bertoni esquina, Asunción 001411, Paraguay",-25.2889606,-57.5824073,0971 656656,http://www.instagram.com/laguarida.barberos,4.7,250,True,95,A,establishment|hair_care|health|point_of_interest,75,A
Barbas Barbershop,Barberia,General,Asunción,,"Chóferes Del Chaco 9001 A Asunción, Asunción 9001, Paraguay",-25.3009262,-57.59370089999999,0972 400517,https://www.facebook.com/barbasparaguay/,4.7,347,True,95,A,bar|establishment|hair_care|health|point_of_interest,75,A
ONE GYM,Gimnasio/Fitness,Gimnasio,Luque,,"Sportivo Luqueño, Luque 110930, Paraguay",-25.2723829,-57.4914101,0984 902237,,4.5,82,False,100,A,establishment|gym|health|point_of_interest,75,A
Sempre Bela Fisio Estética,Spa/Wellness,General,Asunción,,"Asunción 001522, Paraguay",-25.2611875,-57.55643749999999,0986 663434,,4.9,116,False,100,A,establishment|point_of_interest|spa,75,A
SG training,Gimnasio/Fitness,General,Asunción,,"PCJ6+MHW, Sgto. Toribio Valinotti, Asunción 001533, Paraguay",-25.2682684,-57.588542,0992 315496,,4.7,84,False,100,A,establishment|gym|health|point_of_interest,75,A
Aerofisic,Gimnasio/Fitness,General,Asunción,,"PC5C+FC2, Del Maestro, Asunción 001411, Paraguay",-25.2913559,-57.57899399999999,0984 392700,,4.6,74,False,100,A,establishment|gym|health|point_of_interest,75,A
Po Renda Spa de Manos y Pies,Spa/Wellness,Spa,Asunción,,"Mayor José Lamas Carísimo 716, Asunción 001417, Paraguay",-25.3088972,-57.5632996,0983 041081,,4.7,88,False,100,A,beauty_salon|establishment|hair_care|health|point_of_interest|store,75,A
Gimnasio Get Fit,Gimnasio/Fitness,Gimnasio,Asunción,,"PCG7+Q33, Profesor Mario Mariotti, Asunción 001534, Paraguay",-25.2727381,-57.58748989999999,0981 764258,,4.7,54,False,100,A,establishment|gym|health|point_of_interest,75,A
Teranu,Spa/Wellness,General,Asunción,,"Guillermo Saraví, Asunción 001414, Paraguay",-25.3019804,-57.5906093,0971 252626,,4.8,184,False,100,A,establishment|point_of_interest|spa,75,A
Premier Fitness Club - Paseo Los Arboles,Gimnasio/Fitness,General,Asunción,,"PC5G+F2X, Av. Gral. José de San Martín, Asunción 001408, Paraguay",-25.2921004,-57.57386389999999,0972 141444,https://api.whatsapp.com/send/?phone=595972141444&text&type=phone_number&app_absent=0,4.3,86,True,67,B,establishment|gym|health|point_of_interest,70,A
La Logia Barberos - Vintage Club,Barberia,General,Luque,,"Barrio Primavera, Luque 110929, Paraguay",-25.270496,-57.4796902,0985 955741,https://linktr.ee/lalogiabarberos,4.9,121,True,70,A,beauty_salon|establishment|hair_care|health|point_of_interest|store,70,A
TAJOS Barberos (Superseis),Barberia,General,Asunción,,"Denis Roa 1121, Asunción 001409, Paraguay",-25.2924375,-57.5601425,0982 473078,,4.8,132,False,100,A,establishment|hair_care|health|point_of_interest,70,A
Lourdes Elli Belleza y Spa,Spa/Wellness,Spa,Asunción,,"MCJF+JPQ, Av. La Victoria, Asunción 001427, Paraguay",-25.3184121,-57.5756344,(021) 503 329,,4.6,133,False,100,A,beauty_salon|establishment|point_of_interest|spa,70,A
Club Varsovia - Los Laureles,Peluqueria,General,Asunción,,"Pancha Garmendia 5859, Asunción 001415, Paraguay",-25.3052537,-57.576002,0982 333777,https://www.clubvarsovia.com/,4.9,146,True,72,A,establishment|hair_care|health|point_of_interest,70,A
Renacer Spa,Spa/Wellness,Spa,Luque,,"PGH2+5RR, Luis Alberto de Herrera, Luque 110932, Paraguay",-25.2720048,-57.4979782,0982 450269,,4.5,163,False,100,A,establishment|point_of_interest|spa,70,A
Flow Wellness Center / DOTERRA DISTRIBUIDOR,Spa/Wellness,General,Asunción,,"Luis Morales 856, Asunción 1701, Asunción 1701, Paraguay",-25.2822119,-57.5995798,0981 879864,,4.8,33,False,90,A,establishment|gym|health|point_of_interest,70,A
ARMOR Cross & Functional,Gimnasio/Fitness,General,Asunción,,"Av. Primer Presidente 1.478, Asunción 001519, Paraguay",-25.2542615,-57.5746766,0981 616391,,5.0,41,False,90,A,establishment|gym|health|point_of_interest,70,A
Box_evolution_luque,Gimnasio/Fitness,CrossFit,Luque,,"QG5F+5C4, Luque 110905, Paraguay",-25.2421004,-57.4764053,0992 207880,https://www.instagram.com/box_evolution_luque?igsh=eng3d29sdDJ6OXRl,5.0,30,True,80,A,establishment|gym|health|point_of_interest,70,A
Yoga en el Centro,Gimnasio/Fitness,Yoga/Pilates,Asunción,,"Manuel Gondra 1738 E, Tte. Garay y, Asunción 1014, Paraguay",-25.3111359,-57.62074049999999,0981 400800,https://www.facebook.com/yogaenelcentro/about_contact_and_basic_info?locale=br_FR,5.0,45,True,80,A,establishment|gym|health|point_of_interest,70,A
Tomos Barbería,Barberia,General,Luque,,"José Bonifacio y, Luque 110934, Paraguay",-25.2657495,-57.5047598,0972 477929,,4.9,112,False,100,A,establishment|hair_care|health|point_of_interest,70,A
Venebarbershop,Barberia,General,Asunción,Fernando Zona Sur,"Fernando de la Mora sur, Asunción 2300, Paraguay",-25.346156,-57.54953599999999,0983 413941,https://www.instagram.com/jesusbarbershop89?igsh=anVvZmp1eXFhNTkz&utm_source=qr,5.0,184,True,90,A,establishment|hair_care|health|point_of_interest,70,A
MACUTO barberia,Barberia,General,Asunción,,"Teniente Héctor Vera 1415, Asunción 001411, Paraguay",-25.28741,-57.5752415,0986 444489,https://www.instagram.com/macutobarberos/,4.9,117,True,90,A,establishment|hair_care|health|point_of_interest,70,A
Estudio Bindu,Gimnasio/Fitness,General,Asunción,,"PC68+P5Q, Moisés Bertoni, Asunción 001411, Paraguay",-25.2881571,-57.58453050000001,0982 185075,,4.9,33,False,90,A,establishment|gym|health|point_of_interest,70,A
Fígaro Barbería Sucursal 3,Barberia,General,Luque,,"Gral. Bernardino Caballero 92, Luque 2060, Paraguay",-25.2684367,-57.4944863,0991 900820,https://instagram.com/figaro.py?igshid=YmMyMTA2M2Y=,4.4,225,True,92,A,establishment|hair_care|health|point_of_interest,70,A
Exen Gym - Luque,Gimnasio/Fitness,Gimnasio,Luque,,"Comandante Peralta, Luque 110918, Paraguay",-25.2646333,-57.49412519999999,0971 224640,https://exen.com.py/,4.8,46,True,60,B,establishment|gym|health|point_of_interest,70,A
Amano Spa de manos y pies,Spa/Wellness,Spa,Asunción,,"Federación Rusa 1215, Asunción 001527, Paraguay",-25.2795764,-57.5722101,0981 714783,https://www.instagram.com/amanospa.py/,4.7,116,True,95,A,beauty_salon|establishment|point_of_interest|spa,70,A
Ashtanga Yoga Paraguay (Hari Gopal Yoga),Gimnasio/Fitness,Yoga/Pilates,Asunción,,"Caracas 506, Asunción 001519, Paraguay",-25.257197,-57.5807636,0971 347938,,5.0,46,False,90,A,establishment|gym|health|point_of_interest,70,A
Giselle Lahaye Pilates,Gimnasio/Fitness,Yoga/Pilates,Asunción,,"Sgto. José León Gauto 394, Asunción 001207, Paraguay",-25.2819594,-57.5982922,0981 698517,,4.9,38,False,90,A,establishment|gym|health|point_of_interest,70,A
3F training,Gimnasio/Fitness,General,Luque,,"PGR3+8PP, Luque 110918, Paraguay",-25.2591602,-57.4956753,0984 350723,,5.0,37,False,90,A,establishment|gym|health|point_of_interest,70,A
Calma tu alma estética integral central,Spa/Wellness,General,Asunción,,"Av. España 2031 casi, Asunción 2060, Paraguay",-25.2879066,-57.601607,0983 444427,http://www.facebook.com/calmatualmaspa,4.6,159,True,95,A,establishment|point_of_interest|spa,70,A
Barbas,Peluqueria,General,Asunción,,"Julio Correa 450, Asunción 001526, Paraguay",-25.2717785,-57.56485249999999,0972 500517,https://www.facebook.com/barbasparaguay/,4.8,144,True,92,A,bar|establishment|hair_care|health|point_of_interest,70,A
Rebellion Sauna,Spa/Wellness,General,Asunción,,"Av. Perú 689 esquina, Asunción 001224, Paraguay",-25.293122,-57.6217276,0973 136666,,4.3,93,False,97,A,establishment|health|point_of_interest|spa,70,A
Silana,Spa/Wellness,General,Asunción,,"Av. Bruno Guggiari 438, Asunción 110707, Paraguay",-25.3377295,-57.622255,(021) 333 990,,4.8,80,False,100,A,establishment|point_of_interest|spa,65,A
Andessa Beauty Spa,Spa/Wellness,Spa,Asunción,,"Moisés Bertoni 2829, Asunción 1234, Paraguay",-25.2982342,-57.56152580000001,0972 117210,,5.0,86,False,100,A,establishment|point_of_interest|spa,65,A
SB Pilates & Wellness,Spa/Wellness,Yoga/Pilates,Asunción,,"Juan Max Boettner 1216, Asunción 001527, Paraguay",-25.2798562,-57.5643652,0985 444544,,4.7,37,False,90,A,establishment|gym|health|point_of_interest,65,A
Grafic Sport,Gimnasio/Fitness,General,Asunción,,"Av. Eusebio Ayala 677, Asunción 001226, Paraguay",-25.3019268,-57.61607040000001,0985 587371,https://www.graficsport.com.py/,4.3,127,True,72,A,establishment|point_of_interest|store,65,A
Blondas Beauty House - Cosméticos,Otros,General,Asunción,,"Av. Aviadores del Chaco N° 2574, Asunción 001401, Paraguay",-25.2823882,-57.5616624,0984 444900,https://www.blondas.com.py/,5.0,822,True,70,A,establishment|point_of_interest|store,65,A
Bonita Depilaciones,Depilacion,General,Asunción,,"Isaac Kostianovsky 5874, Asunción 1001, Paraguay",-25.3095138,-57.577589,0985 881864,,4.9,231,False,100,A,beauty_salon|clothing_store|establishment|hair_care|point_of_interest|store,65,A
Masaje RUSO,Spa/Wellness,General,Asunción,,"Eusebio Lillo Robles 2808, Asunción 001407, Paraguay",-25.2930583,-57.5584476,0991 369971,,5.0,87,False,100,A,establishment|point_of_interest,65,A
Cuerpo Armónico by Clara Gaona,Spa/Wellness,General,Asunción,,"Av. Dr. José Gaspar Rodriguez de Francia, Asunción 001103, Paraguay",-25.2924566,-57.63628379999999,0981 823279,https://www.facebook.com/cuerpoarmonico/,4.4,146,True,92,A,establishment|point_of_interest|spa,65,A
Guarani Hispanic University,Spa/Wellness,Spa,Asunción,,"Av. República Argentina casi, Asunción 3379, Paraguay",-25.3135169,-57.5881018,(021) 615 951,http://uhg.edu.py/,4.8,73,True,70,A,establishment|point_of_interest|university,65,A
Galilea Estetica,Estetica/Facial,General,Asunción,,"Sta. Rosa 944 c, Asunción 1411, Paraguay",-25.2826214,-57.59021970000001,0994 681789,,5.0,395,False,100,A,establishment|point_of_interest|store,65,A
KS Nails & Eyebrowns,Uñas/Nails,Salon Uñas,Asunción,,"Nazareth 306 casi, Asunción 001422, Paraguay",-25.3121465,-57.591868,0993 351676,https://instagram.com/ksmicrobladingpy?igshid=MmIzYWVlNDQ5Yg==,5.0,211,True,90,A,beauty_salon|establishment|point_of_interest|spa|store,65,A
Figaro Barberia Casa Central,Barberia,General,Luque,,"PFCJ+MGC, C. Leonismo Luqueño, Luque 110946, Paraguay",-25.2783008,-57.5187323,0992 259000,https://www.facebook.com/Figaro-Barber%C3%ADa-2272523329635458/,4.5,134,True,90,A,establishment|hair_care|health|point_of_interest,65,A
MBARETE CrossFit,Gimnasio/Fitness,CrossFit,Asunción,,"Eusebio Lillo Robles, Asunción 001406, Paraguay",-25.2932183,-57.55508299999999,0981 276708,,4.7,38,False,90,A,establishment|gym|health|point_of_interest,65,A
Fabiana Oneto PILATES & CIA.,Gimnasio/Fitness,Yoga/Pilates,Asunción,,"Orihuela y, Asunción 001001, Paraguay",-25.2947501,-57.6673372,0981 418817,,4.7,45,False,90,A,establishment|gym|health|point_of_interest,65,A
Body Gym Center,Gimnasio/Fitness,Gimnasio,Luque,,"Mauricio Jose Troche casi Tt.e Herrero Bueno, PGP4+2PC, M. Troche, Luque 110918, Paraguay",-25.2649401,-57.49323380000001,0981 911016,,4.6,47,False,90,A,establishment|gym|health|point_of_interest,65,A
Garage cross centro,Gimnasio/Fitness,General,Asunción,,"Av Ygatimi &, P972+GRW, Hernandarias, Asunción 001009, Paraguay",-25.2861325,-57.64793319999999,0991 487883,,4.5,34,False,90,A,establishment|gym|health|point_of_interest,65,A
